regime,coefficient,sigma_multiple,physics_mae,data_mae,soft_mae,residual_mae,G_soft,G_residual
R1_Ca,a_c,-1,2.9179246921,1.8109097823178277,1.8109097823178277,2.0062143169249977,1.0,0.902650213908093
R1_Ca,a_c,1,2.863750563596311,1.8109097823178277,1.8109097823178277,2.0061172548289474,1.0,0.9026938868895955
R1_Ca,a_c,2,2.8527367085001294,1.8109097823178277,1.8109097823178277,2.006068723780988,1.0,0.90271572496513
R1_Ca,a_a,-2,2.801417325679522,1.8109097823178277,1.8109097823178277,2.0060876343345657,1.0,0.9027072154395289
R1_Ca,a_a,-1,2.8454027301814753,1.8109097823178277,1.8109097823178277,2.0061267101057663,1.0,0.9026896323125839
R1_Ca,a_a,1,2.933373539185383,1.8109097823178277,1.8109097823178277,2.006204861648224,1.0,0.902654468113516
R1_Ca,a_a,2,2.9773589436873396,1.8109097823178277,1.8109097823178277,2.006243937419383,1.0,0.9026368870413574
R1_Ca,a_p,-2,2.885443647744272,1.8109097823178277,1.8109097823178277,2.0058845718901592,1.0,0.9027985995282842
R1_Ca,a_p,-1,2.887415891213855,1.8109097823178277,1.8109097823178277,2.006025178883581,1.0,0.9027353202643541
R1_Ca,a_p,1,2.8913603781530064,1.8109097823178277,1.8109097823178277,2.0063063928703677,1.0,0.9026087883451384
R1_Ca,a_p,2,2.89333262162258,1.8109097823178277,1.8109097823178277,2.0064469998637207,1.0,0.9025455356861288
R1_Sn,a_v,-2,9.035530018274432,3.6545898027674184,3.6545898027674184,3.648387431500055,1.0,1.0017000308722184
R1_Sn,a_v,-1,6.464856068670347,3.6545898027674184,3.6545898027674184,3.64851398738708,1.0,1.0016652849355498
R1_Sn,a_v,1,3.7778471555874695,3.6545898027674184,3.6545898027674184,3.6487670991611836,1.0,1.0015958002930836
R1_Sn,a_v,2,4.140704733992024,3.6545898027674184,3.6545898027674184,3.6488936550482904,1.0,1.0015610615867765
R1_Sn,a_s,-2,3.847795247845081,3.6545898027674184,3.6545898027674184,3.6513330527988863,1.0,1.0008919345130776
R1_Sn,a_s,-1,3.866150529480766,3.6545898027674184,3.6545898027674184,3.6499867980366396,1.0,1.0012611017478898
R1_Sn,a_s,1,5.563722917934221,3.6545898027674184,3.6545898027674184,3.647294288511681,1.0,1.0020002537987454
R1_Sn,a_s,2,7.233263716802558,3.6545898027674184,3.6545898027674184,3.6459480337493204,1.0,1.0023702392184706
R1_Sn,a_c,-2,3.930018497167932,3.6545898027674184,3.6545898027674184,3.6475767306319895,1.0,1.0019226661022738
R1_Sn,a_c,-1,4.059017778161955,3.6545898027674184,3.6545898027674184,3.64810863695304,1.0,1.001776582459395
R1_Sn,a_c,1,4.6701195562198485,3.6545898027674184,3.6545898027674184,3.6491724495953015,1.0,1.0014845429332115
R1_Sn,a_c,2,5.334009730778501,3.6545898027674184,3.6545898027674184,3.649704355916384,1.0,1.0013385870127027
R1_Sn,a_a,-2,4.02578519590805,3.6545898027674184,3.6545898027674184,3.6486855599332735,1.0,1.0016181835176428
R1_Sn,a_a,-1,4.152715909374763,3.6545898027674184,3.6545898027674184,3.6486630516037444,1.0,1.0016243624253187
R1_Sn,a_a,1,4.43706668079453,3.6545898027674184,3.6545898027674184,3.648618034944583,1.0,1.0016367204694054
R1_Sn,a_a,2,4.590039856334883,3.6545898027674184,3.6545898027674184,3.648595526614983,1.0,1.0016428996058098
R1_Sn,a_p,-2,4.32101721265888,3.6545898027674184,3.6545898027674184,3.649190877427646,1.0,1.0014794855958804
R1_Sn,a_p,-1,4.302555358956528,3.6545898027674184,3.6545898027674184,3.648915710350945,1.0,1.0015550078069433
R1_Sn,a_p,1,4.272140330657372,3.6545898027674184,3.6545898027674184,3.6483653761973542,1.0,1.0017060864053458
R1_Sn,a_p,2,4.258334496482657,3.6545898027674184,3.6545898027674184,3.6480902091205643,1.0,1.0017816427978137
R2_neutron_rich,a_v,-2,7.687104209022894,2.833801196357184,2.833801196357184,2.708937036027817,1.0,1.0460934154868577
R2_neutron_rich,a_v,-1,4.882224384006063,2.833801196357184,2.833801196357184,2.708932950423552,1.0,1.046094993201699
R2_neutron_rich,a_v,1,3.9222979373394935,2.833801196357184,2.833801196357184,2.7089247792155833,1.0,1.046098148645442
R2_neutron_rich,a_v,2,5.527936707379335,2.833801196357184,2.833801196357184,2.7089206936115144,1.0,1.0460997263744845
