N,Z,A,B_exp,B_BWN_published,residual
17,16,33,280.4218032,279.1018208060427,1.3199823939572752
16,17,33,274.0569381,272.7849031779164,1.2720349220836056
15,18,33,261.6555447,259.5458398497642,2.1097048502358007
23,11,34,234.1388818,236.09482145863083,-1.9559396586308253
22,12,34,256.7133246,257.07039899262384,-0.35707439262381513
21,13,34,267.2519204,268.9814344171067,-1.7295140171066805
20,14,34,283.4636406,283.5830221203248,-0.11938152032479366
19,15,34,287.2383104,285.1712108384663,2.0670995615336665
18,16,34,291.8389524,290.4742083787446,1.364744021255376
17,17,34,285.56500040000003,284.06709793049714,1.4979024695028897
16,18,34,278.7208616,277.49505928078446,1.2258023192155179
23,12,35,257.468183,258.390073678159,-0.9218906781590022
22,13,35,272.5493505,273.7054619776756,-1.1561114776756085
21,14,35,285.934754,286.481301592659,-0.5465475926590102
20,15,35,295.618736,294.507935116495,1.1108008835050214
19,16,35,298.8247885,297.37440072045234,1.4503877795476683
18,17,35,298.209765,296.7098001048368,1.4999648951632025
17,18,35,291.46117350000003,290.07969762895857,1.3814758710414594
16,19,35,278.8044315,277.3768352611818,1.4275962388182393
24,12,36,260.7991272,261.81101830427156,-1.0118911042715695
23,13,36,274.4465544,276.1395077420257,-1.692953342025703
22,14,36,292.05071640000006,292.4598749539124,-0.40915855391233436
21,15,36,299.0832912,298.6880876032602,0.39520359673980465
20,16,36,308.71403999999995,307.9264989336264,0.7875410663735352
19,17,36,306.7895592,304.82393493342056,1.9656242665794252
18,18,36,306.7167456,305.2695484699808,1.4471971300192195
17,19,36,293.1200388,291.22540492912117,1.8946338708788062
16,20,36,281.3716764,280.54749140613825,0.8241849938617634
25,12,37,261.0391255,263.93879796124946,-2.8996724612494518
24,13,37,278.658692,280.05634885252255,-1.397656852522573
23,14,37,294.25742210000004,295.12162371337496,-0.8642016133749166
22,15,37,305.8995757,305.3387664679621,0.5608092320379114
21,16,37,313.0176431,312.5171732367786,0.5004698632213831
20,17,37,317.1004192,315.9800670667618,1.120352133238157
19,18,37,315.5042022,314.3894088936627,1.114793306337333
18,19,37,308.574376,307.4520213923538,1.122354607646173
17,20,37,296.1278979,295.06383123750834,1.0640666624916548
24,14,38,299.9275286,300.2658144112973,-0.33828581129728263
23,15,38,309.5964462,309.36165890492776,0.2347872950722376
22,16,38,321.0537502,320.5764337846855,0.47731641531453306
21,17,38,323.2083046,321.83897821934306,1.3693263806569576
20,18,38,327.3426666,326.81511759668217,0.5275490033178016
19,19,38,320.64625340000003,318.974899813597,1.6713535864030291
18,20,38,313.12164920000004,312.60851362470186,0.513135575298179
25,14,39,301.5081927,303.2641221690863,-1.7559294690863112
24,15,39,315.8208339,315.19978730638627,0.6210465936137552
23,16,39,325.4265222,325.0866138444858,0.3399083555142397
22,17,39,331.2817248,330.6142821367333,0.6674426632666837
21,18,39,333.94135320000004,333.2466221799007,0.6947310200993115
20,19,39,333.7240062,332.5643319888049,1.1596742111951244
19,20,39,326.4171729,325.32513811479964,1.0920347852003829
18,21,39,312.52484250000003,311.42798417909455,1.0968583209054827
26,14,40,306.23298800000003,307.9335139765801,-1.7005259765800815
25,15,40,319.256708,319.76128044010983,-0.5045724401098255
