regime,population,family,mechanism,n,mae,rmse,bias,median_ae,p95_ae,G_vs_data_MAE,fraction_G_soft_gt1,fraction_G_residual_gt1
R1_Ni,primary,ridge,adaptive,22,1.380810649716223,2.0615232945674924,-1.3764684893384667,0.7705451656632363,4.664417420849073,1.227297973214301,,
R1_Pb,primary,physics,physics_only,38,3.775143038896688,4.737966312897875,-3.775143038896688,3.0630438863507834,9.02492959453982,,,
R1_Pb,primary,hgb,data,38,1.9486882327433335,2.435083722156605,-0.30350731272142784,1.6603356298538756,4.4003065040409295,,,
R1_Pb,primary,hgb,soft,38,2.4470384912014027,3.2369960595219784,-2.3864887484265687,1.5845883764718565,6.4329132129319415,0.7963455580082035,,
R1_Pb,primary,hgb,residual,38,0.5084226454474255,0.636547130081191,-0.5084226454474255,0.4419561067710447,1.1752925909027447,3.8328116384911133,,
R1_Pb,primary,hgb,adaptive,38,1.9365834261095642,2.457094122206536,-1.782127041309602,1.546035320060696,4.836936987224339,1.0062505991069473,,
R1_Pb,primary,mlp,data,38,3.431315198666234,4.585755694476175,-0.298747517049414,2.132200006047242,8.168643499352696,,,
R1_Pb,primary,mlp,soft,38,2.867697429751645,3.864667743542371,-2.384584830157774,1.8121219082495372,8.01471296415899,1.1965401799601294,,
R1_Pb,primary,mlp,residual,38,0.6879687325432123,0.8939248631223985,-0.6879687325432123,0.4996009017571623,1.9369904211139781,4.9876034132855125,,
R1_Pb,primary,mlp,adaptive,38,2.7349099408309328,3.624619950052589,-2.029720082474491,2.010828778360178,7.539837259998818,1.2546355356855794,,
R1_Pb,primary,mlp,seed_robustness,5,,,,,,,1.0,1.0
R1_Pb,primary,ridge,data,38,3.0656703388076254,4.2573219898274495,-3.0656703388076254,2.1543472611933794,8.644194291396456,,,
R1_Pb,primary,ridge,soft,38,3.0656703388076254,4.2573219898274495,-3.0656703388076254,2.1543472611933794,8.644194291396456,1.0,,
R1_Pb,primary,ridge,residual,38,3.0294935307697357,4.308151283314231,-2.9357350695036732,2.0239945098593353,8.686187564619102,1.0119415366530582,,
R1_Pb,primary,ridge,adaptive,38,3.2676436949097276,4.3586162260159,-3.2676436949097276,2.2761546661690772,8.73777388126375,0.9381899083989076,,
R2_neutron_rich,primary,physics,physics_only,491,3.398729885677654,4.711465477034038,-2.0019036300082806,2.604214878457924,9.96419188971322,,,
R2_neutron_rich,primary,hgb,data,491,8.788289489917283,11.413224098132838,8.672158093329324,6.742730883651802,23.932447814939906,,,
R2_neutron_rich,primary,hgb,soft,491,3.090282226938724,3.977751415938612,2.267721059326763,2.4752820332187184,8.25184698402552,2.8438468866395685,,
R2_neutron_rich,primary,hgb,residual,491,1.1903308825578778,1.8131305448157955,-0.28285799250945165,0.7424460881325103,4.446986913364185,7.383064338406735,,
R2_neutron_rich,primary,hgb,adaptive,491,4.585622093616878,6.014623793701157,4.390579942013497,3.5126908411414206,12.740355938895277,1.9164879509261044,,
R2_neutron_rich,primary,mlp,data,491,9.026698266065923,11.142930074749918,8.769637434228626,7.62550800754525,21.85209159770136,,,
R2_neutron_rich,primary,mlp,soft,491,3.7079671928151683,4.595296959176682,2.306712795686488,3.0845044161889064,9.19306982024466,2.434406184487479,,
R2_neutron_rich,primary,mlp,residual,491,0.790448754715248,1.1362663143209573,0.23467523967880824,0.4830788165335207,2.6312911833258568,11.419713437739185,,
R2_neutron_rich,primary,mlp,adaptive,491,4.4670844854817,5.672784971491853,3.6250068388253536,3.5658589003249404,11.54889724242878,2.020713576249397,,
R2_neutron_rich,primary,mlp,seed_robustness,5,,,,,,,1.0,1.0
R2_neutron_rich,primary,ridge,data,491,2.8338011963571805,3.4583369069539627,0.8372379958269754,2.5101168113203585,6.640855889287195,,,
R2_neutron_rich,primary,ridge,soft,491,2.8338011963571805,3.4583369069539627,0.8372379958269754,2.5101168113203585,6.640855889287195,1.0,,
R2_neutron_rich,primary,ridge,residual,491,2.7089288648195784,3.2874704385143576,0.47107427510512595,2.294271200634057,6.21105693443053,1.0460965709211856,,
R2_neutron_rich,primary,ridge,adaptive,491,2.2794068082850876,3.0366946025065187,-0.20013436150733863,1.7708818687336816,6.956072197259914,1.2432187120162161,,
R2_neutron_rich,primary,BWN,physics_only_shell_aware,491,0.8885393974081411,1.0761728036362017,-0.2622653320639017,0.7632772267184009,2.1540901104054626,,,
R3_proton_rich,primary,physics,physics_only,491,2.3734973697388897,2.9996695754019056,-1.8692692930076726,2.0787003058067057,5.636563066338681,,,
R3_proton_rich,primary,hgb,data,491,11.716032753549257,14.481522579343329,11.663881239343516,9.507331632925343,27.955710639579877,,,
R3_proton_rich,primary,hgb,soft,491,3.7444462143183217,4.794872246064245,3.5439909199328046,2.9592111878370133,9.4118214459113,3.1289093454590233,,
R3_proton_rich,primary,hgb,residual,491,1.060023575743113,1.587256368475084,-0.7939489193371789,0.62753191782258,3.4051920379594662,11.05261526408591,,
R3_proton_rich,primary,hgb,adaptive,491,3.5283225428048888,4.877923326668939,3.372345982438463,2.7331948664059382,9.738613096002894,3.3205673833422935,,
R3_proton_rich,primary,mlp,data,491,11.74840523652919,14.704951286337856,10.454127614936384,9.977723369336672,29.06638473829429,,,
R3_proton_rich,primary,mlp,soft,491,3.8265103713731765,4.827006565410314,3.060089470169949,3.2270972891711835,9.455899959553449,3.070266142337195,,
R3_proton_rich,primary,mlp,residual,491,1.6359869263721498,2.771467960561866,0.9810260432332542,0.6538403384795402,6.688185792038922,7.181234181731289,,
R3_proton_rich,primary,mlp,adaptive,491,3.433399240753898,4.303906953706314,2.636895185444682,3.0653485366617588,7.968476836896684,3.4217999168513544,,
R3_proton_rich,primary,mlp,seed_robustness,5,,,,,,,1.0,1.0
R3_proton_rich,primary,ridge,data,491,2.169841408600494,3.179014715438163,1.2871793367025106,1.4299816804845022,6.062122746140517,,,
R3_proton_rich,primary,ridge,soft,491,2.169841408600494,3.179014715438163,1.2871793367025106,1.4299816804845022,6.062122746140517,1.0,,
