method,observable,n,mae,rmse,bias,median_ae,p95_ae,regime
B_ridge_data,delta2p,0,,,,,,R1_Ca
B_ridge_soft,Sn,18,0.9496657771206477,1.120258457635083,0.0004985676178850756,1.0213328306296319,1.8690210737532367,R1_Ca
B_ridge_soft,S2n,17,1.4338866872391336,1.7878662282176994,-0.1408811600185499,1.5468751896800654,3.1631301630135225,R1_Ca
B_ridge_soft,Sp,0,,,,,,R1_Ca
B_ridge_soft,S2p,0,,,,,,R1_Ca
B_ridge_soft,Qalpha,0,,,,,,R1_Ca
B_ridge_soft,delta2n,15,2.0314307436403243,2.332500434620707,-0.06742747384934471,1.858574463307889,3.9701767889239474,R1_Ca
B_ridge_soft,delta2p,0,,,,,,R1_Ca
B_ridge_residual,Sn,18,0.9205214249779267,1.0921172091935063,-0.03963448763551961,0.9397350961671123,1.8223613541080539,R1_Ca
B_ridge_residual,S2n,17,1.4429486744604907,1.7795456228389865,-0.2317334391236025,1.2757090411603258,3.0611491541667415,R1_Ca
B_ridge_residual,Sp,0,,,,,,R1_Ca
B_ridge_residual,S2p,0,,,,,,R1_Ca
B_ridge_residual,Qalpha,0,,,,,,R1_Ca
B_ridge_residual,delta2n,15,1.9669519778596964,2.3007700170076584,0.011309455478381854,1.7549744596200867,3.9487589968895294,R1_Ca
B_ridge_residual,delta2p,0,,,,,,R1_Ca
B_ridge_adaptive,Sn,18,0.9661837930979718,1.1292491741401314,-0.06465579014563458,0.8808136517372702,1.8460558633461401,R1_Ca
B_ridge_adaptive,S2n,17,1.4446467651244126,1.838219776758113,-0.2767754143573531,1.3083263192926324,3.335911106768776,R1_Ca
B_ridge_adaptive,Sp,0,,,,,,R1_Ca
B_ridge_adaptive,S2p,0,,,,,,R1_Ca
B_ridge_adaptive,Qalpha,0,,,,,,R1_Ca
B_ridge_adaptive,delta2n,15,2.014161508419424,2.3227103244127623,0.04045637426007716,2.0139614185317214,3.8748416350729764,R1_Ca
B_ridge_adaptive,delta2p,0,,,,,,R1_Ca
B_bwn,Sn,18,0.7586542426375174,0.9576799238126912,0.0373620960535498,0.6055266902052665,1.6231388847102144,R1_Ca
B_bwn,S2n,17,1.1618090056213244,1.4621855366284449,0.018318745870718592,1.0678036735034198,2.4677766244459005,R1_Ca
B_bwn,Sp,0,,,,,,R1_Ca
B_bwn,S2p,0,,,,,,R1_Ca
B_bwn,Qalpha,0,,,,,,R1_Ca
B_bwn,delta2n,15,1.7071439340362076,2.175343400724961,-0.026502528639897112,1.1014603709727453,4.372484844391982,R1_Ca
B_bwn,delta2p,0,,,,,,R1_Ca
B_semf,Sn,31,0.846508702990135,1.0094151696731166,-0.13981367684590945,0.8789697106458334,1.7119000926539911,R1_Sn
B_semf,S2n,30,1.5673220558655012,1.8445430613216598,-0.36113207853528595,1.5415923027964027,3.1331943343678055,R1_Sn
B_semf,Sp,0,,,,,,R1_Sn
B_semf,S2p,0,,,,,,R1_Sn
B_semf,Qalpha,0,,,,,,R1_Sn
B_semf,delta2n,28,0.8133522918591203,1.3716009939327907,0.021834022848545537,0.4855912210118163,2.7610735441930943,R1_Sn
B_semf,delta2p,0,,,,,,R1_Sn
B_hgb_data,Sn,31,1.301846703257506,1.7381149368888684,-0.13056623538381934,1.176838746944668,3.600131822040396,R1_Sn
B_hgb_data,S2n,30,1.6690398401246018,2.0813965348062196,-0.20486088918499187,1.3727543422868962,4.232860156167248,R1_Sn
B_hgb_data,Sp,0,,,,,,R1_Sn
B_hgb_data,S2p,0,,,,,,R1_Sn
B_hgb_data,Qalpha,0,,,,,,R1_Sn
B_hgb_data,delta2n,28,2.9187364873211834,3.517773387650246,-0.25831602576950885,2.814158648050011,6.213365272403911,R1_Sn
B_hgb_data,delta2p,0,,,,,,R1_Sn
B_hgb_soft,Sn,31,0.7721398670016221,0.9430890380907733,-0.13611470026107267,0.7087670704733,1.5539539212368254,R1_Sn
B_hgb_soft,S2n,30,1.1914615967566344,1.4703423426436906,-0.29862360279516525,1.0184546545496573,2.8440710836782923,R1_Sn
B_hgb_soft,Sp,0,,,,,,R1_Sn
B_hgb_soft,S2p,0,,,,,,R1_Sn
B_hgb_soft,Qalpha,0,,,,,,R1_Sn
B_hgb_soft,delta2n,28,1.442060917181282,1.8584044914969107,-0.09022599659867378,1.060810479476686,3.1103559546737296,R1_Sn
B_hgb_soft,delta2p,0,,,,,,R1_Sn
B_hgb_residual,Sn,31,0.2605825403329031,0.3711373784316517,-0.02495055835688911,0.16905296842401185,0.6283894289009595,R1_Sn
B_hgb_residual,S2n,30,0.2999951118929137,0.503413675279967,-0.07523785841054102,0.15159098793935755,1.26401977199822,R1_Sn
