regime,family,mechanism,observable,n,G
R4_magic_pm1,hgb,residual,S2n,360,4.487918626708273
R4_magic_pm1,hgb,residual,Sp,403,4.7938953321670095
R4_magic_pm1,hgb,residual,S2p,294,3.6358284416464235
R4_magic_pm1,hgb,residual,delta2n,275,4.563793483355078
R4_magic_pm1,hgb,residual,delta2p,187,3.430675073577861
R4_magic_pm1,hgb,adaptive,Sn,438,1.796597501800104
R4_magic_pm1,hgb,adaptive,S2n,360,1.7715087656633206
R4_magic_pm1,hgb,adaptive,Sp,403,1.8659861017211756
R4_magic_pm1,hgb,adaptive,S2p,294,1.7897543701221643
R4_magic_pm1,hgb,adaptive,delta2n,275,1.8211590236982662
R4_magic_pm1,hgb,adaptive,delta2p,187,1.779934060357144
R4_magic_pm1,mlp,soft,Sn,438,1.734622958394506
R4_magic_pm1,mlp,soft,S2n,360,1.2343080523183487
R4_magic_pm1,mlp,soft,Sp,403,1.8531286231852293
R4_magic_pm1,mlp,soft,S2p,294,1.424810471945467
R4_magic_pm1,mlp,soft,delta2n,275,1.4798194985426063
R4_magic_pm1,mlp,soft,delta2p,187,1.7116599946999151
R4_magic_pm1,mlp,residual,Sn,438,3.6822207361113297
R4_magic_pm1,mlp,residual,S2n,360,2.6103392220391015
R4_magic_pm1,mlp,residual,Sp,403,3.245557295817498
R4_magic_pm1,mlp,residual,S2p,294,2.656550931434787
R4_magic_pm1,mlp,residual,delta2n,275,1.90253429672879
R4_magic_pm1,mlp,residual,delta2p,187,2.000904363026188
R4_magic_pm1,mlp,adaptive,Sn,438,1.667029329293594
R4_magic_pm1,mlp,adaptive,S2n,360,1.2539425982991266
R4_magic_pm1,mlp,adaptive,Sp,403,1.743288811144173
R4_magic_pm1,mlp,adaptive,S2p,294,1.445404167769132
R4_magic_pm1,mlp,adaptive,delta2n,275,1.4706183360691465
R4_magic_pm1,mlp,adaptive,delta2p,187,1.6597945392789533
R6_N50,ridge,soft,Sp,18,1.0
R6_N50,ridge,soft,S2p,17,1.0
