N,Z,observable,derived_keV,official_keV,abs_diff_keV
3,7,S2p_keV,-1300.5167999999976,-1300.5163,0.000499999997600753
8,3,Sn_keV,395.6866999999984,395.6871,0.00040000000160489435
8,3,Sp_keV,15757.8587,15757.8592,0.0005000000001018634
8,3,S2n_keV,369.28220000000147,369.2826,0.00039999999853534973
7,4,Sn_keV,501.6362000000008,501.6358,0.0004000000008090865
7,4,Sp_keV,20164.430200000003,20164.4299,0.00030000000333529897
7,4,S2n_keV,7313.918500000007,7313.9182,0.0003000000069732778
7,4,S2p_keV,35336.6002,35336.5997,0.0005000000019208528
7,4,Qalpha_keV,-8320.87520000001,-8320.8746,0.0006000000103085767
6,5,Sn_keV,11454.220299999994,11454.2206,0.0003000000069732778
6,5,Sp_keV,11228.749299999989,11228.7495,0.00020000001131847966
6,5,S2n_keV,19891.4136,19891.4138,0.00019999999858555384
6,5,S2p_keV,30865.138799999993,30865.139,0.00020000000586151145
6,5,Qalpha_keV,-8664.3122,-8664.3124,0.00020000000040454324
5,6,Sn_keV,13120.5933,13120.594,0.0006999999986874172
5,6,Sp_keV,8690.1843,8690.1847,0.0003999999989900971
5,6,S2n_keV,34404.209599999995,34404.2103,0.0007000000041443855
5,6,S2p_keV,15276.995600000002,15276.996,0.0003999999971711077
5,6,Qalpha_keV,-7544.515999999989,-7544.5165,0.0005000000110157998
4,7,Sn_keV,22505.701299999993,22505.7016,0.0003000000069732778
4,7,Sp_keV,-1378.0007000000041,-1377.9999,0.0008000000041192834
4,7,S2p_keV,2628.7836000000025,2628.784,0.00039999999762585503
4,7,Qalpha_keV,-5735.82439999999,-5735.8247,0.0003000000097017619
3,8,Sp_keV,-1649.914800000006,-1649.9147,0.00010000000588661351
3,8,S2p_keV,-4250.000500000009,-4249.9999,0.000600000009399082
9,3,Sn_keV,-209.99990000000253,-210.0,9.999999747378752e-05
9,3,S2n_keV,185.68679999999586,185.6871,0.00030000000413110683
8,4,Sn_keV,3170.7253999999957,3170.7254,4.092726157978177e-12
8,4,Sp_keV,22939.4689,22939.4682,0.0007000000005064066
8,4,S2n_keV,3672.3615999999965,3672.3612,0.00039999999671636033
8,4,S2p_keV,38697.327600000004,38697.3273,0.0003000000069732778
8,4,Qalpha_keV,-8956.837199999994,-8956.8373,0.00010000000474974513
7,5,Sn_keV,3369.6291000000056,3369.6283,0.0008000000057108991
7,5,Sp_keV,14096.742199999993,14096.742,0.00019999999312858563
7,5,S2n_keV,14823.8494,14823.8489,0.000499999998282874
7,5,S2p_keV,34261.172399999996,34261.1718,0.0005999999993946403
7,5,Qalpha_keV,-10001.322799999994,-10001.3225,0.00029999999424035195
6,6,Sn_keV,18720.715899999996,18720.7151,0.0007999999943422154
6,6,Sp_keV,15956.679900000003,15956.6792,0.000700000002325396
6,6,S2n_keV,31841.309199999996,31841.3091,9.999999747378752e-05
6,6,S2p_keV,27185.42919999999,27185.4287,0.0004999999910069164
6,6,Qalpha_keV,-7366.587999999989,-7366.5875,0.000499999989187927
5,7,Sn_keV,15098.894699999997,15098.8939,0.0007999999979801942
5,7,Sp_keV,600.3006999999925,600.3,0.000699999992548328
5,7,S2n_keV,37604.59599999999,37604.5955,0.0004999999873689376
5,7,S2p_keV,9290.484999999993,9290.4847,0.00029999999242136255
5,7,Qalpha_keV,-8008.416799999992,-8008.4167,9.99999920168193e-05
4,8,Sn_keV,23796.896799999995,23796.8964,0.00039999999353312887
4,8,Sp_keV,-358.7193000000043,-358.7199,0.0005999999956998181
4,8,S2p_keV,-1736.7200000000084,-1736.7199,0.00010000000838772394
4,8,Qalpha_keV,-5475.849999999991,-5475.8501,0.00010000000838772394
10,3,Sn_keV,100.00030000000697,100.0,0.0003000000069732778
10,3,S2n_keV,-109.99959999999555,-110.0001,0.000500000004450385
9,4,Sn_keV,-510.0008999999991,-510.0,0.0008999999990919605
9,4,Sp_keV,22639.467900000003,22639.4682,0.00029999999605934136
9,4,S2n_keV,2660.7244999999966,2660.7254,0.0009000000031846866
9,4,Qalpha_keV,-9701.662299999996,-9701.6627,0.0004000000044470653
8,5,Sn_keV,4878.767800000001,4878.7679,9.999999838328222e-05
8,5,Sp_keV,15804.784599999999,15804.7845,9.999999929277692e-05
8,5,S2n_keV,8248.396900000007,8248.3962,0.0007000000077823643
8,5,S2p_keV,38744.2535,38744.2527,0.000800000001618173
8,5,Qalpha_keV,-10817.873300000007,-10817.8729,0.0004000000062660547
7,6,Sn_keV,4946.308300000004,4946.3087,0.0003999999953521183
7,6,Sp_keV,17533.3591,17533.3596,0.000499999998282874
7,6,S2n_keV,23667.0242,23667.0238,0.0004000000008090865
7,6,S2p_keV,31630.101299999995,31630.1016,0.0003000000069732778
7,6,Qalpha_keV,-10648.357400000008,-10648.3575,9.99999920168193e-05
6,7,Sn_keV,20063.904200000004,20063.9051,0.0008999999954539817
6,7,Sp_keV,1943.4890000000014,1943.49,0.000999999998612111
6,7,S2n_keV,35162.7989,35162.799,9.999999747378752e-05
6,7,S2p_keV,17900.168900000004,17900.1692,0.00029999999605934136
6,7,Qalpha_keV,-9495.920100000003,-9495.9206,0.0004999999964638846
5,8,Sn_keV,16969.22080000001,16969.2213,0.0004999999910069164
5,8,Sp_keV,1511.6068000000087,1511.6075,0.0006999999914114596
5,8,S2n_keV,40766.117600000005,40766.1177,9.999999747378752e-05
5,8,S2p_keV,2111.907500000001,2111.9075,1.3642420526593924e-12
5,8,Qalpha_keV,-8220.454699999987,-8220.4554,0.0007000000132393325
10,4,Sn_keV,1775.8954999999987,1775.8951,0.0003999999987627234
10,4,Sp_keV,24315.363099999995,24315.3634,0.00030000000333529897
10,4,S2n_keV,1265.8945999999996,1265.8951,0.0005000000003292371
10,4,Qalpha_keV,-11667.559800000003,-11667.5601,0.00029999999787833076
9,5,Sn_keV,969.5791999999929,969.5802,0.001000000007138624
9,5,Sp_keV,17284.36469999999,17284.3647,7.275957614183426e-12
9,5,S2n_keV,5848.346999999994,5848.3482,0.0012000000060652383
9,5,S2p_keV,39923.832599999994,39923.8329,0.0003000000069732778
