vintage,N,Z,A,element,origin,mass_excess_keV,mass_excess_unc_keV,be_per_A_keV,be_per_A_unc_keV,beta_mode,beta_keV,beta_unc_keV,atomic_mass_u,atomic_mass_unc_micro_u,mass_estimated,be_estimated,beta_estimated,atomic_mass_estimated,mass_excess_raw,be_per_A_raw,raw_line,B_total_MeV,B_total_unc_MeV,I,even_N,even_Z
2012,8,4,12,Be,,25077.759,1.909,5720.722,0.159,B-,11708.343,2.322,12.026922082,2.048,False,False,False,False,25077.759,5720.722,   4    8    4   12 Be        25077.759      1.909     5720.722    0.159 B-  11708.343    2.322  12 026922.082      2.048  ,68.648664,0.001908,0.3333333333333333,1,1
2012,7,5,12,B,,13369.416,1.322,6631.221,0.11,B-,13369.416,1.322,12.014352658,1.419,False,False,False,False,13369.416,6631.221,   2    7    5   12 B         13369.416      1.322     6631.221    0.110 B-  13369.416    1.322  12 014352.658      1.419  ,79.574652,0.00132,0.16666666666666666,0,0
2012,6,6,12,C,,0.0,0.0,7680.144,0.0,B-,-17338.072,1.0,12.0,0.0,False,False,False,False,0.0,7680.144,   0    6    6   12 C             0.0        0.0       7680.144    0.000 B- -17338.072    1.000  12 000000.0        0.0    ,92.161728,0.0,0.0,1,1
2012,5,7,12,N,,17338.072,1.0,6170.109,0.083,B-,-14576.623,24.024,12.018613187,1.073,False,False,False,False,17338.072,6170.109,  -2    5    7   12 N         17338.072      1.000     6170.109    0.083 B- -14576.623   24.024  12 018613.187      1.073  ,74.041308,0.000996,-0.16666666666666666,0,0
2012,4,8,12,O,-pp,31914.696,24.003,4890.195,2.0,B-,,,12.034261836,25.768,False,False,False,False,31914.696,4890.195,  -4    4    8   12 O   -pp   31914.696     24.003     4890.195    2.000 B-      *               12 034261.836     25.768  ,58.682339999999996,0.024,-0.3333333333333333,1,1
2012,10,3,13,Li,-nn,58340.888,350.001,3403.015,26.923,B-,24681.813,350.149,13.062631523,375.741,False,False,False,False,58340.888,3403.015,0  7   10    3   13 Li  -nn   58340.888    350.001     3403.015   26.923 B-  24681.813  350.149  13 062631.523    375.741  ,44.239195,0.34999899999999995,0.5384615384615384,1,0
2012,9,4,13,Be,-n,33659.076,10.18,5241.435,0.783,B-,17096.957,10.238,13.036134506,10.929,False,False,False,False,33659.076,5241.435,   5    9    4   13 Be   -n   33659.076     10.180     5241.435    0.783 B-  17096.957   10.238  13 036134.506     10.929  ,68.138655,0.010179,0.38461538461538464,0,1
2012,8,5,13,B,-nn,16562.119,1.083,6496.406,0.083,B-,13437.11,1.083,13.017780166,1.162,False,False,False,False,16562.119,6496.406,   3    8    5   13 B   -nn   16562.119      1.083     6496.406    0.083 B-  13437.110    1.083  13 017780.166      1.162  ,84.45327800000001,0.0010789999999999999,0.23076923076923078,1,0
2012,7,6,13,C,,3125.00875,0.00021,7469.849,0.0,B-,-2220.472,0.27,13.00335483507,0.00023,False,False,False,False,3125.00875,7469.849,   1    7    6   13 C          3125.00875    0.00021   7469.849    0.000 B-  -2220.472    0.270  13 003354.83507    0.00023,97.108037,0.0,0.07692307692307693,0,1
2012,6,7,13,N,,5345.481,0.27,7238.863,0.021,B-,-17769.959,9.53,13.005738609,0.289,False,False,False,False,5345.481,7238.863,  -1    6    7   13 N          5345.481      0.270     7238.863    0.021 B- -17769.959    9.530  13 005738.609      0.289  ,94.10521899999999,0.000273,-0.07692307692307693,1,0
