vintage,N,Z,A,element,origin,mass_excess_keV,mass_excess_unc_keV,be_per_A_keV,be_per_A_unc_keV,beta_mode,beta_keV,beta_unc_keV,atomic_mass_u,atomic_mass_unc_micro_u,mass_estimated,be_estimated,beta_estimated,atomic_mass_estimated,mass_excess_raw,be_per_A_raw,raw_line,B_total_MeV,B_total_unc_MeV,I,even_N,even_Z
2020,14,10,24,Ne,-nn,-5951.642,0.513,7993.3252,0.0214,B-,2466.2583,0.513,23.993610649,0.55,False,False,False,False,-5951.642,7993.3252,   4   14   10   24 Ne  -nn   -5951.642       0.513      7993.3252     0.0214  B-   2466.2583     0.5130   23 993610.649       0.550   ,191.83980480000002,0.0005135999999999999,0.16666666666666666,1,1
2020,13,11,24,Na,-n,-8417.901,0.017,8063.4882,0.0007,B-,5515.6774,0.021,23.990963012,0.017,False,False,False,False,-8417.901,8063.4882,   2   13   11   24 Na   -n   -8417.901       0.017      8063.4882     0.0007  B-   5515.6774     0.0210   23 990963.012       0.017   ,193.5237168,1.68e-05,0.08333333333333333,0,0
2020,12,12,24,Mg,,-13933.578,0.013,8260.7103,0.0006,B-,-13884.766,0.2282,23.985041689,0.013,False,False,False,False,-13933.578,8260.7103,   0   12   12   24 Mg       -13933.578       0.013      8260.7103     0.0006  B- -13884.7660     0.2282   23 985041.689       0.013   ,198.25704720000002,1.44e-05,0.0,1,1
2020,11,13,24,Al,,-48.812,0.228,7649.5806,0.0095,B-,-10793.9978,19.4734,23.999947598,0.244,False,False,False,False,-48.812,7649.5806,  -2   11   13   24 Al          -48.812       0.228      7649.5806     0.0095  B- -10793.9978    19.4734   23 999947.598       0.244   ,183.5899344,0.00022799999999999999,-0.08333333333333333,0,0
2020,10,14,24,Si,--,10745.186,19.472,7167.2329,0.8113,B-,-23275.0,501.0,24.01153543,20.904,False,False,True,False,10745.186,7167.2329,  -4   10   14   24 Si   --   10745.186      19.472      7167.2329     0.8113  B- -23275#       501#       24 011535.430      20.904   ,172.01358960000002,0.0194712,-0.16666666666666666,1,1
2020,17,8,25,O,-n,27329.03,165.084,6727.8058,6.6034,B-,15994.8633,191.1909,25.029338919,177.225,False,False,False,False,27329.030,6727.8058,   9   17    8   25 O    -n   27329.030     165.084      6727.8058     6.6034  B-  15994.8633   191.1909   25 029338.919     177.225   ,168.195145,0.16508499999999998,0.36,0,1
2020,16,9,25,F,x,11334.167,96.442,7336.3065,3.8577,B-,13369.6698,100.7212,25.012167727,103.535,False,False,False,False,11334.167,7336.3065,   7   16    9   25 F     x   11334.167      96.442      7336.3065     3.8577  B-  13369.6698   100.7212   25 012167.727     103.535   ,183.40766250000001,0.0964425,0.28,1,0
2020,15,10,25,Ne,,-2035.503,29.045,7839.7994,1.1618,B-,7322.3107,29.0701,24.997814797,31.181,False,False,False,False,-2035.503,7839.7994,   5   15   10   25 Ne        -2035.503      29.045      7839.7994     1.1618  B-   7322.3107    29.0701   24 997814.797      31.181   ,195.99498499999999,0.029044999999999998,0.2,0,1
2020,14,11,25,Na,-nn,-9357.814,1.2,8101.3979,0.048,B-,3834.9684,1.2009,24.989953974,1.288,False,False,False,False,-9357.814,8101.3979,   3   14   11   25 Na  -nn   -9357.814       1.200      8101.3979     0.0480  B-   3834.9684     1.2009   24 989953.974       1.288   ,202.53494750000002,0.0012,0.12,1,0
2020,13,12,25,Mg,,-13192.782,0.047,8223.5028,0.0019,B-,-4276.808,0.0447,24.985836966,0.05,False,False,False,False,-13192.782,8223.5028,   1   13   12   25 Mg       -13192.782       0.047      8223.5028     0.0019  B-  -4276.8080     0.0447   24 985836.966       0.050   ,205.58757,4.75e-05,0.04,0,1
