vintage,N,Z,A,element,target_measured,Sn_keV,S2n_keV,Sp_keV,S2p_keV,Qalpha_keV,delta2n_keV,delta2p_keV
2012,49,31,80,Ga,True,4747.3429999999935,11660.413999999873,13080.341999999946,29304.170000000042,-10672.607999999891,1810.715999999782,3846.837999999989
2012,48,32,80,Ge,True,8080.02099999995,13815.88599999994,14276.623000000021,26630.037999999942,-9657.19200000004,1793.4939999999478,3993.4839999999385
2012,47,33,80,As,True,6649.7360000000335,15540.150000000023,9976.820999999996,23086.493999999948,-8342.763999999966,1508.8980000000447,3225.7799999999115
2012,46,34,80,Se,True,9913.351000000024,16876.17200000002,11412.376000000047,20475.326,-6971.443999999901,899.0580000000773,3066.4920000000857
2012,45,35,80,Br,True,7892.234999999986,18579.515999999945,7260.550999999978,17649.98999999999,-6022.563999999897,828.6419999998761,2773.216000000015
2012,44,36,80,Kr,True,11522.392000000109,19856.427999999956,9114.234999999986,15445.371999999974,-5066.327999999863,1016.7939999999944,2750.735999999917
2012,43,37,80,Rb,True,9443.782000000007,21382.699999999953,5022.152000000118,13301.275999999954,-4311.307999999961,1227.685999999987,2835.7919999998994
2012,42,38,80,Sr,True,12905.899999999907,23280.191999999923,6797.461999999941,10709.8679999999,-3722.2319999998435,1438.99599999981,
2012,41,39,80,Y,True,10861.30999999994,,2958.939999999944,8789.419999999925,-3092.719999999972,,
2012,40,40,80,Zr,True,,,4449.150000000023,6921.072000000044,-3694.295999999973,,
2012,52,29,81,Cu,False,,,,,,,
2012,51,30,81,Zn,True,2622.3249999999534,8909.946999999927,,,,,
2012,50,31,81,Ga,True,6475.597000000067,11222.94000000006,13268.31700000004,,,3451.1319999999832,
2012,49,32,81,Ge,True,4827.697999999975,12907.718999999925,14356.978000000003,27437.31999999995,-9927.40699999989,2080.3819999999832,3810.4699999998556
2012,48,33,81,As,True,8390.136000000057,15039.87200000009,10286.936000000103,24563.559000000125,-8965.846000000136,1761.209000000148,3505.4720000003
2012,47,34,81,Se,True,6700.878999999957,16614.22999999998,11463.518999999971,21440.339999999967,-7601.102999999886,1520.000999999931,3261.4159999999683
2012,46,35,81,Br,True,10158.008999999962,18050.243999999948,7505.208999999915,18917.584999999963,-6484.282999999938,869.8699999999953,3244.7399999998743
2012,45,36,81,Kr,True,7872.802999999956,19395.195000000065,9094.802999999956,16355.353999999934,-5520.25299999991,957.3950000000186,2674.6159999999218
2012,44,37,81,Rb,True,11352.553000000073,20796.33500000008,4852.313000000082,13966.548000000068,-4646.831000000006,1039.7940000001108,2640.732000000193
2012,43,38,81,Sr,True,9287.994000000064,22193.89399999997,6641.673999999999,11663.826000000117,-3783.6419999999925,781.7870000000112,2703.545000000042
2012,42,39,81,Y,True,12636.2080000001,23497.51800000004,2689.248000000138,9486.71000000008,-3306.1650000000373,862.0770000001648,2210.00400000019
2012,41,40,81,Zr,True,10950.63599999994,,4538.476000000024,7497.415999999968,-3017.8499999999767,,
2012,40,41,81,Nb,False,,,,,,,
2012,53,29,82,Cu,False,,,,,,,
2012,52,30,82,Zn,False,,,,,,,
2012,51,31,82,Ga,True,3374.101000000024,9849.698000000091,14020.09300000011,,-10858.2080000001,,
2012,50,32,82,Ge,True,7194.694000000018,12022.391999999993,15076.074999999953,28344.391999999993,-10356.769999999902,3146.3680000000168,3233.771999999997
2012,49,33,82,As,True,5641.115999999922,14031.251999999979,11100.35400000005,25457.332000000053,-8822.085999999894,2138.1119999999646,3199.3480000001146
2012,48,34,82,Se,True,9276.234999999986,15977.113999999943,12349.6179999999,22636.554000000004,-8156.7799999999115,1480.655999999959,3213.243999999948
2012,47,35,82,Br,True,7592.865000000107,17750.87400000007,8397.195000000065,19860.714000000036,-7105.204000000027,1322.3520000001881,3021.0120000001043
2012,46,36,82,Kr,True,10966.831000000006,18839.63399999996,9903.625,17408.833999999915,-5989.345999999903,848.043999999878,2771.699999999837
2012,45,37,82,Rb,True,8802.460999999894,20155.013999999966,5781.97100000002,14876.773999999976,-5160.629999999888,441.2119999999413,2593.1919999999227
2012,44,38,82,Sr,True,12553.202000000048,21841.196000000113,7842.322999999975,12694.636000000057,-4255.40399999998,1059.0640000001295,2706.1680000001797
2012,43,39,82,Y,True,10422.555999999982,23058.764000000083,3823.810000000056,10465.484000000055,-3552.523999999976,1085.6520000001183,
2012,42,40,82,Zr,False,,,,,,,
2012,41,41,82,Nb,False,,,,,,,
2012,53,30,83,Zn,False,,,,,,,
2012,52,31,83,Ga,True,4397.707000000053,7771.808000000077,,,,,
2012,51,32,83,Ge,True,3632.6429999999236,10827.336999999941,15334.616999999853,29354.709999999963,-9968.996999999858,2537.6919999998063,3339.5049999998882
2012,50,33,83,As,True,7637.5470000000205,13278.662999999942,11543.207000000053,26619.282000000007,-9546.562000000034,3616.2219999999506,3135.1609999999637
2012,49,34,83,Se,True,5817.994000000064,15094.22900000005,12526.496000000043,23626.850000000093,-8238.908999999985,1878.5370000001276,2909.228000000119
2012,48,35,83,Br,True,9587.508999999845,17180.373999999953,8708.468999999925,21058.086999999825,-7802.298999999883,1475.6769999997923,3326.2249999996275
2012,47,36,83,Kr,True,7470.969000000041,18437.800000000047,9781.728999999934,18178.924,-6497.493999999948,804.8730000000214,2487.7369999999646
2012,46,37,83,Rb,True,10954.080000000075,19756.54099999997,5769.2200000000885,15672.845000000088,-5427.429000000004,517.1499999999069,2323.3590000001714
2012,45,38,83,Sr,True,8858.904999999912,21412.10699999996,7898.766999999993,13680.738000000012,-4780.273000000045,963.857999999891,2726.393999999971
2012,44,39,83,Y,True,12212.884999999893,22635.440999999875,3483.4929999999003,11325.815999999875,-3826.4909999999218,855.229999999865,2672.7499999998836
2012,43,40,83,Zr,True,,23656.75900000008,5136.47100000002,8960.281000000075,-2858.515000000014,250.58900000015274,2783.1010000001406
2012,42,41,83,Nb,True,,,,7276.705999999889,-2478.5639999998966,,
2012,41,42,83,Mo,False,,,,,,,
2012,54,30,84,Zn,False,,,,,,,
2012,53,31,84,Ga,False,,,,,,,
