vintage,kind,N,Z,A,element,Sn_keV,Sn_unc_keV,Sn_estimated,Sp_keV,Sp_unc_keV,Sp_estimated,Q4beta_keV,Q4beta_unc_keV,Q4beta_estimated,Qda_keV,Qda_unc_keV,Qda_estimated,Qpa_keV,Qpa_unc_keV,Qpa_estimated,Qna_keV,Qna_unc_keV,Qna_estimated,raw_line
2020,rct2,94,64,158,Gd,7937.3919,0.0646,False,8519.8063,4.1969,False,-5386.1542,25.2384,False,10103.6817,3.4118,False,5992.4226,0.8838,False,5147.6383,0.9355,False, 158 Gd  64    7937.3919    0.0646   8519.8063    4.1969  -5386.1542   25.2384  10103.6817    3.4118   5992.4226    0.8838   5147.6383    0.9355
2020,rct2,93,65,158,Tb,6778.3531,1.0099,False,5935.9587,0.9778,False,-10767.6832,25.2513,False,13775.2569,0.989,False,7463.47,0.9905,False,7993.8558,1.307,False, 158 Tb  65    6778.3531    1.0099   5935.9587    0.9778 -10767.6832   25.2513  13775.2569    0.9890   7463.4700    0.9905   7993.8558    1.3070
2020,rct2,92,66,158,Dy,9053.8008,5.1246,False,6932.2747,2.4093,False,-14397.5314,8.2841,False,10394.6654,4.3395,False,5707.3426,10.0722,False,7309.5484,2.3962,False, 158 Dy  66    9053.8008    5.1246   6932.2747    2.4093 -14397.5314    8.2841  10394.6654    4.3395   5707.3426   10.0722   7309.5484    2.3962
2020,rct2,91,67,158,Ho,7425.8521,35.8364,False,4051.6983,27.4867,False,-18975.196,31.0379,False,15052.797,27.111,False,7832.5981,28.7595,False,10709.4451,28.822,False, 158 Ho  67    7425.8521   35.8364   4051.6983   27.4867 -18975.1960   31.0379  15052.7970   27.1110   7832.5981   28.7595  10709.4451   28.8220
2020,rct2,90,68,158,Er,9961.4856,36.5859,False,5759.924,34.4502,False,-23201.4158,30.6928,False,10945.3946,45.9609,False,5600.0387,30.6792,False,9498.5262,27.0008,False, 158 Er  68    9961.4856   36.5859   5759.9240   34.4502 -23201.4158   30.6928  10945.3946   45.9609   5600.0387   30.6792   9498.5262   27.0008
2020,rct2,89,69,158,Tm,8065.2394,37.6422,False,2578.5234,36.5859,False,-27585.0,202.0,True,16219.2896,35.2508,False,8370.0271,25.9406,False,12983.0009,30.6792,False, 158 Tm  69    8065.2394   37.6422   2578.5234   36.5859 -27585#      202#      16219.2896   35.2508   8370.0271   25.9406  12983.0009   30.6792
2020,rct2,88,70,158,Yb,10661.0265,13.3914,False,4589.3128,29.06,False,-32317.0,300.0,True,11535.6035,16.3358,False,5480.3558,12.487,False,11845.9537,9.844,False, 158 Yb  70   10661.0265   13.3914   4589.3128   29.0600 -32317#      300#      11535.6035   16.3358   5480.3558   12.4870  11845.9537    9.8440
2020,rct2,87,71,158,Lu,8843.7006,19.3435,False,1081.2594,18.6215,False,,,False,16764.1442,17.7554,False,8154.4687,22.4568,False,15060.1229,18.0304,False, 158 Lu  71    8843.7006   19.3435   1081.2594   18.6215      *                 16764.1442   17.7554   8154.4687   22.4568  15060.1229   18.0304
2020,rct2,86,72,158,Hf,11319.0,201.0,True,2951.5527,21.2489,False,,,False,12307.9572,56.8786,False,5306.7118,8.0226,False,14046.6167,24.1159,False, 158 Hf  72   11319#      201#       2951.5527   21.2489      *                 12307.9572   56.8786   5306.7118    8.0226  14046.6167   24.1159
2020,rct2,85,73,158,Ta,9594.0,251.0,True,-447.6541,12.904,False,,,False,17412.0,250.0,True,8056.0,361.0,True,17073.0,202.0,True, 158 Ta  73    9594#      251#       -447.6541   12.9040      *                 17412#      250#       8056#      361#      17073#      202#    
2020,rct2,84,74,158,W,12074.0,500.0,True,1386.0,335.0,True,,,False,13019.0,424.0,True,5159.4548,15.2304,False,16264.0,424.0,True, 158 W   74   12074#      500#       1386#      335#          *                 13019#      424#       5159.4548   15.2304  16264#      424#    
2020,rct2,101,58,159,Ce,2872.0,640.0,True,,,False,30868.0,500.0,True,8441.0,583.0,True,6574.0,640.0,True,,,False,0159 Ce  58    2872#      640#          *                 30868#      500#       8441#      583#       6574#      640#          *               
2020,rct2,100,59,159,Pr,4691.0,500.0,True,11519.0,565.0,True,25274.0,400.0,True,9872.0,565.0,True,8914.0,500.0,True,-2073.0,565.0,True, 159 Pr  59    4691#      500#      11519#      565#      25274#      400#       9872#      565#       8914#      500#      -2073#      565#    
2020,rct2,99,60,159,Nd,3960.2019,29.8363,False,12863.0,301.0,True,18837.8503,29.8239,False,9421.6057,29.9756,False,6589.355,29.8254,False,742.0,301.0,True, 159 Nd  60    3960.2019   29.8363  12863#      301#      18837.8503   29.8239   9421.6057   29.9756   6589.3550   29.8254    742#      301#    
2020,rct2,98,61,159,Pm,5519.5264,10.0779,False,10008.1989,10.1232,False,12978.2304,10.0991,False,10650.5724,10.2637,False,8511.8339,10.1232,False,541.358,10.091,False, 159 Pm  61    5519.5264   10.0779  10008.1989   10.1232  12978.2304   10.0991  10650.5724   10.2637   8511.8339   10.1232    541.3580   10.0910
2020,rct2,97,62,159,Sm,5027.3184,7.5945,False,10390.6776,5.9995,False,6959.3709,6.1053,False,10800.0736,9.1584,False,6823.0532,6.0474,False,3640.6826,6.0753,False, 159 Sm  62    5027.3184    7.5945  10390.6776    5.9995   6959.3709    6.1053  10800.0736    9.1584   6823.0532    6.0474   3640.6826    6.0753
2020,rct2,96,63,159,Eu,6844.2424,4.7737,False,8080.5077,6.4244,False,1286.2346,5.2464,False,11345.0749,6.1675,False,8181.4047,9.5119,False,3769.8639,4.4769,False, 159 Eu  63    6844.2424    4.7737   8080.5077    6.4244   1286.2346    5.2464  11345.0749    6.1675   8181.4047    9.5119   3769.8639    4.4769
2020,rct2,95,64,159,Gd,5943.2059,0.0848,False,8580.3671,2.2561,False,-4000.7371,3.5926,False,11608.0839,4.1977,False,6385.042,3.4129,False,6445.28,8.4731,False, 159 Gd  64    5943.2059    0.0848   8580.3671    2.2561  -4000.7371    3.5926  11608.0839    4.1977   6385.0420    3.4129   6445.2800    8.4731
