vintage,kind,N,Z,A,element,S2n_keV,S2n_unc_keV,S2n_estimated,S2p_keV,S2p_unc_keV,S2p_estimated,Qalpha_keV,Qalpha_unc_keV,Qalpha_estimated,Q2beta_keV,Q2beta_unc_keV,Q2beta_estimated,Qep_keV,Qep_unc_keV,Qep_estimated,Qbeta_n_keV,Qbeta_n_unc_keV,Qbeta_n_estimated,raw_line
2012,rct1,84,51,135,Sb,6909.75,4.3,False,26804.0,196.0,True,-4088.96,3.94,False,14099.33,6.13,False,-25318.0,298.0,True,4775.05,4.0,False, 135 Sb  51    6909.75    4.30  26804#    196#    -4088.96    3.94  14099.33    6.13 -25318#    298#     4775.05    4.00
2012,rct1,83,52,135,Te,10938.43,4.51,False,21431.59,3.6,False,-2880.65,6.65,False,8688.91,4.95,False,-18584.6,4.25,False,-1740.07,6.14,False, 135 Te  52   10938.43    4.51  21431.59    3.60  -2880.65    6.65   8688.91    4.95 -18584.60    4.25  -1740.07    6.14
2012,rct1,82,53,135,I,14045.02,7.14,False,19444.39,6.27,False,-4231.97,5.8,False,3792.86,5.4,False,-17057.39,5.66,False,-3735.97,5.47,False, 135 I   53   14045.02    7.14  19444.39    6.27  -4231.97    5.80   3792.86    5.40 -17057.39    5.66  -3735.97    5.47
2012,rct1,81,54,135,Xe,14915.83,4.79,False,18062.65,5.5,False,-3630.67,4.15,False,1433.95,4.16,False,-11169.74,4.99,False,-7596.93,4.15,False, 135 Xe  54   14915.83    4.79  18062.65    5.50  -3630.67    4.15   1433.95    4.16 -11169.74    4.99  -7596.93    4.15
2012,rct1,80,55,135,Cs,15653.52,1.0,False,16273.18,4.77,False,-2563.95,1.19,False,-938.31,9.49,False,-10811.68,5.6,False,-6703.08,1.03,False, 135 Cs  55   15653.52    1.00  16273.18    4.77  -2563.95    1.19   -938.31    9.49 -10811.68    5.60  -6703.08    1.03
2012,rct1,79,56,135,Ba,16439.76,1.03,False,14785.08,2.42,False,-1862.0,0.35,False,-3234.36,10.26,False,-7015.38,0.89,False,-10703.38,19.93,False, 135 Ba  56   16439.76    1.03  14785.08    2.42  -1862.00    0.35  -3234.36   10.26  -7015.38    0.89 -10703.38   19.93
2012,rct1,78,57,135,La,17291.76,29.49,False,13150.52,9.43,False,-1009.54,10.67,False,-5707.65,15.12,False,-7041.32,9.43,False,-9881.94,22.46,False, 135 La  57   17291.76   29.49  13150.52    9.43  -1009.54   10.67  -5707.65   15.12  -7041.32    9.43  -9881.94   22.46
2012,rct1,77,58,135,Ce,18340.78,19.31,False,11640.71,10.31,False,-357.35,10.59,False,-8402.75,21.71,False,-2955.27,10.26,False,-14159.68,22.76,False, 135 Ce  58   18340.78   19.31  11640.71   10.31   -357.35   10.59  -8402.75   21.71  -2955.27   10.26 -14159.68   22.76
2012,rct1,76,59,135,Pr,19140.91,17.2,False,10019.42,30.34,False,408.48,30.34,False,-10908.94,66.27,False,-3006.18,23.17,False,-13360.75,16.71,False, 135 Pr  59   19140.91   17.20  10019.42   30.34    408.48   30.34 -10908.94   66.27  -3006.18   23.17 -13360.75   16.71
2012,rct1,75,60,135,Nd,20023.87,50.35,False,8373.34,25.17,False,1069.92,37.97,False,-13356.39,155.81,False,1330.31,27.96,False,-17546.18,60.84,False, 135 Nd  60   20023.87   50.35   8373.34   25.17   1069.92   37.97 -13356.39  155.81   1330.31   27.96 -17546.18   60.84
2012,rct1,74,61,135,Pm,20761.91,82.35,False,6667.29,66.39,False,1848.82,80.38,False,-15879.0,206.0,True,1212.1,68.3,False,-16722.0,206.0,True, 135 Pm  61   20761.91   82.35   6667.29   66.39   1848.82   80.38 -15879#    206#     1212.10   68.30 -16722#    206#  
2012,rct1,73,62,135,Sm,21769.0,336.0,True,5102.78,161.49,False,2485.9,157.06,False,-18565.0,429.0,True,5500.25,155.08,False,-21000.0,336.0,True, 135 Sm  62   21769#    336#     5102.78  161.49   2485.90  157.06 -18565#    429#     5500.25  155.08 -21000#    336#  
2012,rct1,72,63,135,Eu,23054.0,357.0,True,3318.0,202.0,True,3350.0,277.0,True,-21322.0,446.0,True,5302.0,204.0,True,-20917.0,446.0,True, 135 Eu  63   23054#    357#     3318#    202#     3350#    277#   -21322#    446#     5302#    204#   -20917#    446#  
2012,rct1,71,64,135,Gd,24414.0,643.0,True,1639.0,499.0,True,3416.0,566.0,True,,,False,9795.0,446.0,True,,,False, 135 Gd  64   24414#    643#     1639#    499#     3416#    566#        *              9795#    446#        *           
2012,rct1,70,65,135,Tb,,,False,167.0,499.0,True,4020.0,567.0,True,,,False,9814.0,499.0,True,,,False, 135 Tb  65       *               167#    499#     4020#    567#        *              9814#    499#        *           
2012,rct1,86,50,136,Sn,5609.0,401.0,True,,,False,-8060.0,446.0,True,18527.0,401.0,True,,,False,5719.0,401.0,True,0136 Sn  50    5609#    401#        *             -8060#    446#    18527#    401#        *              5719#    401#  
2012,rct1,85,51,136,Sb,6631.89,6.56,False,27427.0,298.0,True,-4525.8,60.4,False,15035.68,15.54,False,-25271.0,401.0,True,5146.74,6.89,False, 136 Sb  51    6631.89    6.56  27427#    298#    -4525.80   60.40  15035.68   15.54 -25271#    401#     5146.74    6.89
2012,rct1,84,52,136,Te,8032.44,3.7,False,22571.52,4.09,False,-306.81,3.79,False,12003.35,2.45,False,-21082.53,3.93,False,1291.84,5.93,False, 136 Te  52    8032.44    3.70  22571.52    4.09   -306.81    3.79  12003.35    2.45 -21082.53    3.93   1291.84    5.93
2012,rct1,83,53,136,I,11629.01,15.23,False,20102.88,14.3,False,-2334.82,14.45,False,6793.44,14.32,False,-17144.82,14.49,False,-1200.03,14.79,False, 136 I   53   11629.01   15.23  20102.88   14.30  -2334.82   14.45   6793.44   14.32 -17144.82   14.49  -1200.03   14.79
2012,rct1,82,54,136,Xe,14447.48,0.84,False,18471.1,2.77,False,-3665.88,3.49,False,2457.99,0.27,False,-15990.26,2.7,False,-6918.65,1.0,False, 136 Xe  54   14447.48    0.84  18471.10    2.77  -3665.88    3.49   2457.99    0.27 -15990.26    2.70  -6918.65    1.00
2012,rct1,81,55,136,Cs,15590.39,1.88,False,16857.75,5.82,False,-3060.34,4.48,False,-301.44,53.2,False,-9838.93,5.72,False,-6559.52,1.86,False, 136 Cs  55   15590.39    1.88  16857.75    5.82  -3060.34    4.48   -301.44   53.20  -9838.93    5.72  -6559.52    1.86
2012,rct1,80,56,136,Ba,16079.72,0.11,False,15340.78,0.89,False,-2033.09,0.27,False,-2378.55,0.27,False,-9759.34,4.16,False,-10314.95,9.43,False, 136 Ba  56   16079.72    0.11  15340.78    0.89  -2033.09    0.27  -2378.55    0.27  -9759.34    4.16 -10314.95    9.43
2012,rct1,79,57,136,La,16961.46,56.78,False,13724.27,53.17,False,-1306.15,53.21,False,-4697.05,54.39,False,-5744.63,53.18,False,-9492.44,54.15,False, 136 La  57   16961.46   56.78  13724.27   53.17  -1306.15   53.21  -4697.05   54.39  -5744.63   53.18  -9492.44   54.15
2012,rct1,78,58,136,Ce,17818.33,20.39,False,12136.47,0.29,False,-498.51,1.12,False,-7309.3,11.82,False,-5946.85,0.27,False,-13644.04,11.82,False, 136 Ce  58   17818.33   20.39  12136.47    0.29   -498.51    1.12  -7309.30   11.82  -5946.85    0.27 -13644.04   11.82
