regime,family,mechanism,observable,n,mae,rmse,bias,median_ae,p95_ae,G_vs_data_MAE
R1_Pb_broad,ridge,data,B/A,38,0.014812589866622636,0.020708906448573823,-0.014739664688346643,0.011307439804558062,0.04143132125557795,
R1_Pb_broad,ridge,soft,B/A,38,0.014812589866622636,0.020708906448573823,-0.014739664688346643,0.011307439804558062,0.04143132125557795,1.0
R1_Pb_broad,ridge,residual,B/A,38,0.015073056306636334,0.02086719987020362,-0.013935165715433172,0.010794891995599354,0.041408337629807286,0.9827197328322179
R1_Pb_broad,ridge,adaptive,B/A,38,0.015801051553663504,0.021191604088677655,-0.015801051553663504,0.01105333883381876,0.04193325330381893,0.9374432971322284
R1_Pb_broad,hgb,data,B/A,38,0.009693107647761674,0.012047388141676161,-0.0023117878433644287,0.008301665877518793,0.026232324217460596,
R1_Pb_broad,hgb,soft,B/A,38,0.012422555966205848,0.01585385306436627,-0.011986218641638752,0.00929321322061849,0.030829526109012437,0.780282872070021
R1_Pb_broad,hgb,residual,B/A,38,0.0025853651209105364,0.0032593940393262906,-0.0024484970205673165,0.002367646262330325,0.006226405662108944,3.749221945234517
R1_Pb_broad,hgb,adaptive,B/A,38,0.009843480976315079,0.012210785784295547,-0.009199183913299692,0.007923470771799224,0.023363981169619706,0.9847235618258189
R1_Pb_broad,mlp,data,B/A,38,0.01288871395998145,0.017893894972771572,-0.003205598349551282,0.007673631561395222,0.037644230770840136,
R1_Pb_broad,mlp,soft,B/A,38,0.013111552376126349,0.01870881474628557,-0.012343742844113348,0.0060137563740103595,0.040040085745696744,0.9830044216159601
R1_Pb_broad,mlp,residual,B/A,38,0.004090007304908921,0.00518719080736437,-0.004090007304908921,0.003043085587375316,0.011746921134217955,3.1512691785445273
R1_Pb_broad,mlp,adaptive,B/A,38,0.01248766281443337,0.017711931667814023,-0.011079750448372113,0.005759847357056369,0.03877747842787733,1.0321157891198456
R1_Sn,physics,physics_only,B/A,32,0.03431043123181843,0.04766009740808369,-0.030925966494803614,0.02124073754670519,0.09439804902637387,
R1_Sn,BWN,physics_only_shell_aware,B/A,32,0.006202243040657862,0.007172401283409596,0.002722688470558343,0.006491528839567273,0.011716856501525362,
R1_Sn,ridge,data,B/A,32,0.029332634223370013,0.037071855373075696,-0.029332634223370013,0.0195804062404763,0.07327849309818327,
R1_Sn,ridge,soft,B/A,32,0.029332634223370013,0.037071855373075696,-0.029332634223370013,0.0195804062404763,0.07327849309818327,1.0
R1_Sn,ridge,residual,B/A,32,0.029424875955884833,0.03650163424975612,-0.029424875955884833,0.021403480618420012,0.0712095925077687,0.9968651785430426
R1_Sn,ridge,adaptive,B/A,32,0.0295560318128692,0.039285797141561024,-0.0295560318128692,0.0203167533173243,0.07840921291442937,0.9924415567382793
R1_Sn,hgb,data,B/A,32,0.015494728056991647,0.018712719181813733,-0.013136224142894448,0.011688796351826625,0.03482407931102456,
R1_Sn,hgb,soft,B/A,32,0.024157370285908086,0.03272529177846516,-0.023810069554039914,0.017178409327041066,0.06891674772567731,0.6414078963731541
R1_Sn,hgb,residual,B/A,32,0.008433742446857517,0.009073250534161548,-0.008433742446857517,0.007843857532732201,0.016541257280766608,1.837230405674187
R1_Sn,hgb,adaptive,B/A,32,0.018197146179586343,0.022535781528393244,-0.01789971168202531,0.015135358047610126,0.046515551653160785,0.8514922012537173
R1_Sn,mlp,data,B/A,32,0.021437494625445475,0.026037369270506018,-0.01931405859824692,0.018520246960090248,0.049343513838447706,
R1_Sn,mlp,soft,B/A,32,0.028109797712781825,0.037138041819355753,-0.02628120333618128,0.022380728176477405,0.0734932837662277,0.7626342545929321
R1_Sn,mlp,residual,B/A,32,0.00795782636528164,0.008793262282026868,-0.00795782636528164,0.006785718691448395,0.013785827484453428,2.6938882103501096
R1_Sn,mlp,adaptive,B/A,32,0.02664162366732159,0.03471031962465098,-0.02489734199416216,0.022404601703231997,0.0668482266997719,0.8046617163105018
R1_Sn_broad,physics,physics_only,B/A,35,0.04039174072585736,0.055895382422822215,-0.037948978519720455,0.02596677459867891,0.10696378129504873,
R1_Sn_broad,BWN,physics_only_shell_aware,B/A,0,,,,,,
R1_Sn_broad,ridge,data,B/A,35,0.03218696042372454,0.03986271237431768,-0.03218696042372454,0.024921189604343752,0.07442299491085932,
R1_Sn_broad,ridge,soft,B/A,35,0.03218696042372454,0.03986271237431768,-0.03218696042372454,0.024921189604343752,0.07442299491085932,1.0
R1_Sn_broad,ridge,residual,B/A,35,0.03282556891741051,0.04040850950670339,-0.03282556891741051,0.02460463621842912,0.0740895624755078,0.9805453944974202
R1_Sn_broad,ridge,adaptive,B/A,35,0.033292994652773036,0.04312001711624663,-0.033292994652773036,0.024458289941698297,0.0814647653646844,0.966778770111136
R1_Sn_broad,hgb,data,B/A,35,0.0198852678138535,0.023672451508484096,-0.016473465350236742,0.01992147011160128,0.04336428237311941,
R1_Sn_broad,hgb,soft,B/A,35,0.030209949467738997,0.03917238956842072,-0.029358773251926807,0.022653117331538297,0.0753548594692745,0.6582357191655962
R1_Sn_broad,hgb,residual,B/A,35,0.009822020629095311,0.012873038554455787,-0.009822020629095311,0.007478267254995785,0.02155739420328131,2.0245597687860992
R1_Sn_broad,hgb,adaptive,B/A,35,0.02503217614904984,0.03138234877465035,-0.024154729722947212,0.021927184779585218,0.06592943745638404,0.7943882983025546
R1_Sn_broad,mlp,data,B/A,35,0.027870886448955395,0.03190863557238789,-0.02599730755377416,0.028603472839739297,0.05375295206974986,
R1_Sn_broad,mlp,soft,B/A,35,0.033679063806097635,0.04259690659548251,-0.03316831013334211,0.02922104551682203,0.07588997215409367,0.8275433845019569
R1_Sn_broad,mlp,residual,B/A,35,0.011030147651770506,0.013273925902752975,-0.011030147651770506,0.008419994413236154,0.025846036561530963,2.5267917827447843
R1_Sn_broad,mlp,adaptive,B/A,35,0.0315141788761627,0.03854901236914518,-0.031041653962673825,0.029457498972446317,0.06691795437548294,0.8843919607893357
R2_neutron_rich,physics,physics_only,B/A,491,0.03109906765697422,0.05209266006411675,-0.0244424132090105,0.01588165411491893,0.11389917713375786,
R2_neutron_rich,BWN,physics_only_shell_aware,B/A,491,0.008105759624996012,0.012487608967918935,-0.0005508993930724311,0.005532385682229801,0.022611110775564214,
R2_neutron_rich,ridge,data,B/A,491,0.025053435159294864,0.04019729583425898,0.011833881130380633,0.016917346623222862,0.06323644372928872,
