N,Z,A,B_total_MeV,B_1_volume,residual_B_1_volume,residual_BA_1_volume,B_2_surface,residual_B_2_surface,residual_BA_2_surface,B_3_coulomb,residual_B_3_coulomb,residual_BA_3_coulomb,B_4_asymmetry,residual_B_4_asymmetry,residual_BA_4_asymmetry,B_5_pairing,residual_B_5_pairing,residual_BA_5_pairing,is_magic_Z,is_magic_N
10,14,24,172.01358960000002,377.3236654645869,-205.31007586458688,-8.554586494357787,228.80048530713555,-56.78689570713553,-2.3661206544639803,183.67459872001433,-11.661009120014313,-0.4858753800005964,168.18853840990658,3.8250511900934328,0.1593771329205597,170.55564283664242,1.4579467633575973,0.06074778180656656,False,False
16,9,25,183.4076625,393.0454848589447,-209.6378223589447,-8.385512894357788,240.42479309966708,-57.0171305996671,-2.280685223986684,222.8140668175707,-39.40640431757072,-1.5762561727028288,177.2850495058539,6.122612994146095,0.24490451976584382,177.2850495058539,6.122612994146095,0.24490451976584382,False,False
15,10,25,195.994985,393.0454848589447,-197.05049985894468,-7.882019994357787,240.42479309966708,-44.42980809966707,-1.777192323986683,218.4113852470466,-22.416400247046596,-0.8966560098818639,195.18229478188496,0.8126902181150513,0.03250760872460205,195.18229478188496,0.8126902181150513,0.03250760872460205,False,False
14,11,25,202.5349475,393.0454848589447,-190.5105373589447,-7.620421494357788,240.42479309966708,-37.8898455996671,-1.515593823986684,213.51951683535316,-10.984569335353171,-0.43938277341412685,205.15704426789497,-2.6220967678949876,-0.10488387071579951,205.15704426789497,-2.6220967678949876,-0.10488387071579951,False,False
13,12,25,205.58757,393.0454848589447,-187.4579148589447,-7.498316594357788,240.42479309966708,-34.837223099667085,-1.3934889239866834,208.13846158249038,-2.5508915824903795,-0.10203566329961518,207.20929796388393,-1.6217279638839273,-0.0648691185553571,207.20929796388393,-1.6217279638839273,-0.0648691185553571,False,False
12,13,25,200.528415,393.0454848589447,-192.5170698589447,-7.700682794357788,240.42479309966708,-39.89637809966709,-1.5958551239866836,202.26821948845827,-1.739804488458276,-0.06959217953833104,201.33905586985182,-0.8106408698518237,-0.03242563479407295,201.33905586985182,-0.8106408698518237,-0.03242563479407295,False,False
11,14,25,187.0027725,393.0454848589447,-206.0427123589447,-8.241708494357788,240.42479309966708,-53.42202059966709,-2.136880823986684,195.90879055325678,-8.906018053256787,-0.35624072213027147,187.5463179857986,-0.5435454857986031,-0.021741819431944122,187.5463179857986,-0.5435454857986031,-0.021741819431944122,False,False
16,10,26,201.549686,408.7673042533025,-207.21761825330248,-7.9699083943577875,252.10338855438604,-50.553702554386035,-1.9443731751686937,230.37590147819878,-28.826215478198776,-1.1087005953153375,198.21254544951344,3.3371405504865663,0.1283515596340987,200.4867858198158,1.062900180184215,0.040880776160931345,False,False
15,11,26,208.1092338,408.7673042533025,-200.65807045330249,-7.717618094357788,252.10338855438604,-43.994154754386045,-1.692082875168694,225.54757101682387,-17.438337216823868,-0.6707052775701488,211.25274611518594,-3.1435123151859443,-0.12090431981484401,208.9785057448836,-0.869271944883593,-0.03343353634167666,False,False
14,12,26,216.6806486,408.7673042533025,-192.08665565330247,-7.387948294357788,252.10338855438604,-35.42273995438603,-1.3624130751686936,220.23640750931142,-3.5557589093114075,-0.13675995805043875,216.66270128390192,0.01794731609808764,0.0006902813883879861,218.93694165420428,-2.2562930542042636,-0.08678050208477937,False,False
