regime,stage_index,cumulative_stage,n,B_mae,B_rmse,BA_mae,BA_rmse,fit_condition_number
R7_light_random,3,volume+surface+coulomb,509,95.50020264385195,123.22635324724682,0.7192332788840133,0.9114249172774269,10273.83778575951
R7_light_random,4,volume+surface+coulomb+asymmetry,509,2.709712659767422,3.756069434504468,0.04711291848140273,0.1678920780144597,10273.83778575951
R7_light_random,5,volume+surface+coulomb+asymmetry+pairing,509,2.5638428036497656,3.6524450598166225,0.041736483956367414,0.14214099737776562,10273.83778575951
R4_magic_pm2,1,volume,817,903.4069442565401,1025.6186702887771,7.467943068340731,7.475798476365853,13220.458780991725
R4_magic_pm2,2,volume+surface,817,481.33441037261565,589.335355357859,3.5551087852068455,3.6928096297795237,13220.458780991725
R4_magic_pm2,3,volume+surface+coulomb,817,75.30797430979786,101.3403747839318,0.5834565157727521,0.7158580960465686,13220.458780991725
R4_magic_pm2,4,volume+surface+coulomb+asymmetry,817,3.4337853453544986,4.600703694189833,0.03416704185156831,0.0473602363723759,13220.458780991725
R4_magic_pm2,5,volume+surface+coulomb+asymmetry+pairing,817,3.289062377590712,4.484414669385579,0.0321154248753689,0.04523900059563513,13220.458780991725
R0_random_broad,1,volume,492,1052.6639426017484,1165.0054471354429,7.452834575682091,7.462020660491425,11520.543575366228
R0_random_broad,2,volume+surface,492,596.4938230866812,696.0502112482113,3.8773134362965984,3.990959145364657,11520.543575366228
R0_random_broad,3,volume+surface+coulomb,492,96.82395961679832,124.157974698522,0.6574433719836362,0.7841474185838191,11520.543575366228
R0_random_broad,4,volume+surface+coulomb+asymmetry,492,2.4866550709563753,3.2990258251481714,0.02835000266064983,0.06168956472824744,11520.543575366228
R0_random_broad,5,volume+surface+coulomb+asymmetry+pairing,492,2.287977024237299,3.0848172340621347,0.024781329737854192,0.054381135675873694,11520.543575366228
R1_Ca_broad,1,volume,21,328.7731563680237,331.87699228338204,7.149026521251033,7.153270512385029,11714.866396627765
R1_Ca_broad,2,volume+surface,21,106.49612731195032,109.8262471245087,2.2884888441189197,2.3088125849900636,11714.866396627765
R1_Ca_broad,3,volume+surface+coulomb,21,31.457889525898345,43.29323273555637,0.6182567440300368,0.8158877745004218,11714.866396627765
R1_Ca_broad,4,volume+surface+coulomb+asymmetry,21,3.292103379941585,3.8292874614009795,0.06864734229552455,0.0775604921697815,11714.866396627765
R1_Ca_broad,5,volume+surface+coulomb+asymmetry+pairing,21,3.2470541794490995,3.7066786753764744,0.06929777052181915,0.0781362742150566,11714.866396627765
R1_Sn_broad,1,volume,35,841.5358759563901,844.9563710689035,7.1357237863649,7.136209544374078,11649.943892135028
R1_Sn_broad,2,volume+surface,35,424.8014635157521,427.98645838615704,3.5925339059941663,3.5952341164307806,11649.943892135028
R1_Sn_broad,3,volume+surface+coulomb,35,74.34686583988615,95.18660514112595,0.5928966168291803,0.7403856007939779,11649.943892135028
R1_Sn_broad,4,volume+surface+coulomb+asymmetry,35,5.264663471412944,7.095245842118053,0.04426730486491398,0.05975917690146211,11649.943892135028
R1_Sn_broad,5,volume+surface+coulomb+asymmetry+pairing,35,4.8166731725784695,6.662763177116016,0.04039174072585747,0.05589538242282226,11649.943892135028
R1_Ni_broad,1,volume,22,434.3540949663109,436.4222784290633,6.9558885258609715,6.958327874239252,11685.37842940703
R1_Ni_broad,2,volume+surface,22,161.47838296178557,163.39423037414295,2.5747177571844793,2.5814944755311693,11685.37842940703
R1_Ni_broad,3,volume+surface+coulomb,22,27.962136644106884,39.55924204386456,0.41036670356266103,0.5647169235931718,11685.37842940703
R1_Ni_broad,4,volume+surface+coulomb+asymmetry,22,1.7052236799740166,2.1244109739466506,0.02847479409639013,0.03644251715671239,11685.37842940703
R1_Ni_broad,5,volume+surface+coulomb+asymmetry+pairing,22,1.608488168332524,1.840739785869948,0.026200552993973423,0.030418086438860712,11685.37842940703
R1_Pb_broad,1,volume,38,1520.1183188764653,1522.2589356698365,7.7374343761893245,7.737628087897061,11473.65217073148
R1_Pb_broad,2,volume+surface,38,934.7172815718852,936.5858606386715,4.755191495525003,4.755507146016855,11473.65217073148
R1_Pb_broad,3,volume+surface+coulomb,38,128.64805302044383,148.38459864373482,0.635911622288881,0.7201003640351176,11473.65217073148
R1_Pb_broad,4,volume+surface+coulomb+asymmetry,38,4.140966560854251,5.102909969051664,0.020640932177759034,0.025078242433234452,11473.65217073148
R1_Pb_broad,5,volume+surface+coulomb+asymmetry+pairing,38,3.7107981218238617,4.732528459010845,0.018435839173821463,0.02317674010877108,11473.65217073148
R2_neutron_rich_broad,1,volume,519,1121.0782710020978,1232.4768129012584,7.6385166498168156,7.646725118101089,11566.38804357464
R2_neutron_rich_broad,2,volume+surface,519,639.7791683345658,737.6363632939929,4.047546927704328,4.131491490551344,11566.38804357464
R2_neutron_rich_broad,3,volume+surface+coulomb,519,175.85389580748014,190.92688837187043,1.2540168508348697,1.2824997773364168,11566.38804357464
R2_neutron_rich_broad,4,volume+surface+coulomb+asymmetry,519,3.8469176559828324,5.257383623226604,0.042765066960469514,0.0903852835766623,11566.38804357464
R2_neutron_rich_broad,5,volume+surface+coulomb+asymmetry+pairing,519,3.7920217892681247,5.171684537026351,0.04194323266959505,0.08731744905575498,11566.38804357464
R3_proton_rich_broad,1,volume,519,940.8842541894629,1058.4167887332796,7.542487917291657,7.550038435876239,11917.497152610036
R3_proton_rich_broad,2,volume+surface,519,518.5591668641521,620.3414756044341,3.727962354433366,3.861968556545934,11917.497152610036
R3_proton_rich_broad,3,volume+surface+coulomb,519,30.5078549132595,51.894625321352926,0.19052553790543061,0.263218018525425,11917.497152610036
R3_proton_rich_broad,4,volume+surface+coulomb+asymmetry,519,2.6717643919796443,3.4707593169154007,0.02877078642115049,0.04357232695708341,11917.497152610036
R3_proton_rich_broad,5,volume+surface+coulomb+asymmetry+pairing,519,2.5115883069802485,3.2693529024084445,0.025691024862400106,0.03649653346883755,11917.497152610036
R4_magic_pm1_broad,1,volume,548,854.9989424736427,978.8661814772246,7.3238404696768376,7.332864177920147,12481.577357019853
R4_magic_pm1_broad,2,volume+surface,548,455.6527717171536,564.9326001004436,3.472196370658805,3.6040825721782332,12481.577357019853
