regime,model,removed_term,n,B_mae,B_rmse,BA_mae,BA_rmse,rank,condition_number
R7_light_random,term_removed_refit,surface,509,12.15206479162718,15.777510475514184,0.2447247417909438,0.6312985960235611,4,10234.809595941328
R7_light_random,term_removed_refit,coulomb,509,22.8823237917512,28.869210807789432,0.4130832781605821,1.0901282144541573,4,1884.6447848222615
R7_light_random,term_removed_refit,asymmetry,509,20.869869920419305,26.8601894967307,0.3783621355527778,1.003293929042554,4,10251.319236668738
R7_light_random,term_removed_refit,pairing,509,2.7132940357231816,3.750912145775677,0.04700015002889144,0.1657496833506239,4,1071.6196125302436
R4_magic_pm2,full,none,817,3.289062377590699,4.4844146693855755,0.03211542487536881,0.04523900059563507,5,13220.458780991725
R4_magic_pm2,term_removed_refit,surface,817,13.268531223810973,16.825710937599556,0.2143906755789761,0.3650083683822542,4,13213.57005645772
R4_magic_pm2,term_removed_refit,coulomb,817,23.047442523103534,28.84073493184056,0.363322689538583,0.6190843684113697,4,2414.2015834802264
R4_magic_pm2,term_removed_refit,asymmetry,817,20.679319586404347,26.047136409908404,0.3292280437441061,0.5629145914099883,4,13219.685657008433
R4_magic_pm2,term_removed_refit,pairing,817,3.450111100179269,4.619397879821433,0.03432728171764184,0.04760923543310706,4,1577.3009669405685
R0_random_broad,full,none,492,2.287977024237305,3.0848172340621347,0.024781329737854213,0.05438113567587368,5,11520.543575366228
R0_random_broad,term_removed_refit,surface,492,11.53520059933586,14.562913219543534,0.1662375043646329,0.3596487758197126,4,11504.709948283324
R0_random_broad,term_removed_refit,coulomb,492,21.860845963116077,26.646262173893263,0.280880009574097,0.5849240363124913,4,2123.398574175253
R0_random_broad,term_removed_refit,asymmetry,492,19.302527994899396,24.039787400608194,0.253366985033383,0.536748565779659,4,11516.28913460483
R0_random_broad,term_removed_refit,pairing,492,2.486470133857358,3.2950062446301644,0.028393309556770982,0.061480699961884426,4,1244.4838865609736
R1_Ca_broad,full,none,21,3.247054179449086,3.706678675376475,0.06929777052181872,0.07813627421505663,5,11714.866396627765
R1_Ca_broad,term_removed_refit,surface,21,26.236758220148857,26.74080979904279,0.5880765583115481,0.6152892351447333,4,11703.423651395819
R1_Ca_broad,term_removed_refit,coulomb,21,38.16029845080983,39.558359345675385,0.8560916665952595,0.9142928643433467,4,2156.944539514718
R1_Ca_broad,term_removed_refit,asymmetry,21,36.27330203586668,37.94314880343437,0.7966447588567275,0.836216441207063,4,11710.375314850391
